a,b
90,148
50,94
32,115
105,66
92,118
89,77
47,65
66,108
54,62
116,54
69,138
94,141
39,79
52,107
79,90
98,51
70,110
45,147
65,149
42,121
56,69
76,85
102,132
61,134
108,146
25,105
22,63
20,60
86,129
64,53
27,131
101,86
117,71
43,61
118,81
34,50
75,140
67,117
77,52
23,119
38,83
40,126
21,109
71,135
74,58
31,143
58,133
110,120
78,102
96,67
59,139
24,142
29,145
113,91
46,78
107,75
95,57
93,130
85,124
119,89
36,150
73,137
37,87
48,100
91,136
115,127
88,84
83,74
114,123
26,96
49,93
57,88
103,106
30,112
81,104
80,101
109,92
84,55
104,116
68,111
63,114
44,68
51,59
99,76
120,82
112,80
53,64
35,70
111,98
33,73
106,72
100,103
72,97
28,113
87,99
41,125
97,56
82,95
55,128
62,122
60,144
