a,b
118,133
41,123
71,105
101,85
113,146
80,79
47,117
24,111
70,122
45,126
91,107
20,104
55,51
79,138
76,68
107,102
30,148
51,103
97,127
32,53
62,86
117,121
43,54
63,52
98,73
99,94
77,140
68,71
28,70
100,72
26,109
95,62
48,97
96,114
103,57
40,66
59,150
50,101
75,88
69,115
46,129
25,149
64,55
85,67
57,124
61,142
116,98
120,90
105,96
53,144
66,119
27,60
94,116
92,78
112,128
82,93
21,63
102,59
39,65
74,132
86,143
104,131
44,61
29,95
67,69
109,100
83,50
54,99
89,134
115,108
60,89
23,125
38,118
36,82
119,139
37,141
22,77
33,120
114,106
65,74
88,91
49,76
73,87
81,110
35,145
110,112
87,80
58,136
78,56
106,130
34,75
111,92
108,137
90,81
42,83
52,84
56,58
84,113
93,147
72,64
31,135
