a,b
99,63
51,91
118,87
54,150
106,52
120,65
72,70
117,129
83,53
39,61
94,99
70,141
96,123
52,126
55,118
89,57
58,128
84,92
112,73
78,127
29,50
49,88
50,111
23,116
68,72
26,98
22,138
56,95
46,71
114,54
81,113
111,110
90,90
25,130
88,69
47,136
92,137
79,125
36,103
30,51
60,114
33,79
119,101
75,134
76,76
87,74
38,55
108,93
109,67
86,59
98,120
80,149
63,78
64,143
61,82
97,56
21,66
74,131
103,109
27,80
59,124
107,102
105,148
110,60
71,58
48,94
66,105
37,64
116,121
34,100
43,108
77,145
73,142
93,96
82,139
95,75
40,140
69,115
44,68
20,133
42,135
100,147
101,146
102,104
104,83
28,132
85,77
65,144
62,106
113,85
57,89
31,112
91,86
115,84
53,81
41,117
32,119
45,107
67,97
24,122
35,62
