a,b
116,114
28,59
90,94
52,113
120,105
63,81
85,125
103,76
69,75
24,79
40,139
73,91
49,70
64,82
48,64
79,126
104,93
77,74
93,111
59,120
113,50
75,77
57,62
111,61
41,118
62,117
37,134
102,99
96,78
39,135
45,86
22,54
20,88
94,102
33,116
70,90
76,138
109,89
78,112
36,97
44,73
117,107
118,148
83,87
21,58
110,69
66,85
81,137
25,84
29,67
50,66
98,108
91,104
107,132
108,72
58,51
95,100
105,130
87,95
92,57
46,147
56,145
35,110
89,60
42,129
84,55
100,52
88,68
86,127
60,143
23,56
74,131
119,136
27,142
47,98
55,109
30,53
65,119
53,128
114,140
112,150
32,65
101,92
61,115
106,144
68,106
80,103
99,101
54,146
43,149
82,124
67,121
72,123
26,80
71,133
34,83
51,122
115,96
97,141
38,71
31,63
