a,b
72,77
80,103
48,124
74,138
113,135
50,122
83,79
69,82
28,52
84,128
99,147
27,62
93,150
88,88
118,96
101,131
103,145
35,59
54,76
56,64
30,140
29,69
109,75
96,50
107,109
112,133
91,126
106,139
70,113
100,99
64,97
98,117
41,74
40,84
43,92
36,81
119,118
77,130
115,61
85,129
75,101
24,68
59,125
108,100
45,136
71,134
53,116
22,123
73,63
110,83
21,55
117,104
92,105
94,115
76,57
81,56
38,73
87,54
20,108
47,53
68,137
89,93
42,70
51,89
82,144
49,85
102,66
26,51
95,71
90,72
46,143
52,95
60,102
63,141
97,98
114,90
78,87
37,142
32,146
55,94
116,58
34,91
39,120
31,110
25,78
67,114
65,86
86,107
66,65
61,132
104,106
62,111
23,60
58,80
111,67
57,127
79,148
105,112
44,119
120,121
33,149
