a,b
37,76
119,79
73,60
57,54
71,96
120,131
35,99
47,61
63,70
42,86
117,102
24,148
59,146
107,141
81,73
56,53
50,115
93,56
34,121
95,134
41,110
103,104
114,74
62,140
109,144
101,101
84,94
60,120
44,89
72,108
116,103
61,92
55,118
69,62
68,112
53,65
29,88
46,77
70,107
36,127
100,66
43,51
85,55
48,95
79,69
115,75
38,122
87,81
32,97
74,119
111,63
86,52
20,71
58,150
67,58
108,90
75,149
99,78
22,83
112,98
76,114
26,82
52,116
49,67
65,106
92,147
89,117
90,72
77,105
21,130
54,87
39,100
83,113
113,145
82,64
97,85
91,80
78,59
51,93
28,137
23,135
66,136
33,109
102,123
104,91
80,139
106,128
40,142
94,111
64,50
118,124
98,57
96,132
105,126
30,138
45,68
88,84
25,129
110,125
31,133
27,143
