a,b
74,97
56,70
88,99
75,76
108,105
34,57
51,120
65,71
105,80
82,62
31,75
91,146
68,83
45,138
41,109
67,114
50,60
73,148
95,81
92,132
83,90
118,78
21,50
96,117
58,56
98,55
116,100
119,88
103,72
42,66
89,82
79,103
48,104
102,147
97,116
22,54
77,98
93,102
38,134
37,124
32,67
43,108
109,95
33,52
94,63
39,51
106,112
64,86
112,150
63,53
90,115
76,123
49,110
55,141
114,85
81,89
25,91
69,74
46,92
87,130
57,137
53,128
62,73
20,65
78,127
59,79
80,126
100,144
72,140
54,93
27,61
52,111
35,119
86,77
30,131
36,118
117,125
61,94
23,84
110,106
47,113
99,121
104,59
107,142
113,143
28,145
66,69
26,133
85,87
40,136
101,149
44,129
115,101
84,122
60,96
71,64
24,68
29,107
120,139
111,58
70,135
