a,b
48,76
65,82
86,124
39,122
60,146
28,78
57,53
67,121
70,77
27,132
46,104
61,103
66,67
81,105
77,133
110,129
119,127
64,106
69,102
73,74
40,143
104,118
31,58
76,61
94,99
42,110
30,145
20,130
56,75
22,54
21,97
91,89
85,107
23,137
95,101
59,50
29,112
88,69
52,70
111,113
118,134
26,91
97,64
36,71
100,94
38,80
109,140
93,90
58,135
34,149
113,117
72,72
108,141
80,62
32,100
96,142
102,60
103,144
53,57
25,51
105,139
82,150
55,119
49,59
99,131
92,92
87,128
74,138
79,79
116,73
62,111
33,85
35,84
112,147
98,98
83,123
45,125
75,86
54,56
120,88
114,87
115,65
63,136
89,96
68,52
84,93
44,115
43,116
71,63
50,68
101,83
24,66
78,108
51,114
106,120
47,148
117,95
90,55
41,126
107,81
37,109
