a,b
53,88
49,124
79,101
39,115
90,86
107,122
62,79
36,65
21,95
83,123
85,51
103,135
81,89
71,133
33,74
105,69
96,56
114,82
92,120
89,91
84,67
93,72
94,128
76,106
115,60
78,131
20,150
52,57
54,61
38,83
41,145
32,55
43,109
58,77
61,105
57,121
51,141
72,81
102,102
28,93
80,111
100,87
35,149
75,97
70,90
82,84
86,78
66,114
42,58
24,94
73,142
106,112
64,127
108,125
120,119
88,118
60,147
23,108
67,66
97,139
91,99
44,68
104,54
63,104
65,96
110,98
87,73
26,148
29,64
99,62
34,59
50,126
30,130
116,113
98,92
59,103
118,140
31,143
119,144
56,129
112,71
113,134
69,63
101,137
40,100
45,85
25,146
48,80
111,52
27,132
74,116
55,138
37,107
46,50
68,136
95,53
117,110
77,76
109,75
47,70
22,117
