a,b
90,115
107,136
91,83
63,67
65,64
103,90
31,77
21,120
77,101
61,69
24,125
55,55
94,123
116,127
93,143
49,126
87,86
80,91
119,117
43,102
47,128
72,93
73,63
112,89
97,122
38,108
74,96
39,112
33,73
85,76
86,150
104,129
27,119
46,142
96,121
89,133
108,66
23,51
59,70
52,50
83,116
88,149
75,61
62,132
117,110
45,139
101,71
58,137
60,134
34,81
67,68
22,88
53,52
54,118
44,114
35,75
115,141
105,62
56,105
37,109
114,99
79,103
50,104
99,148
76,144
30,65
42,146
95,135
48,54
36,59
26,56
41,95
106,113
57,100
70,60
66,111
102,82
29,92
81,107
82,79
113,84
51,147
64,124
120,57
84,87
20,98
28,131
69,80
71,140
68,94
25,138
110,78
40,74
92,53
118,72
98,130
100,145
78,85
109,106
32,97
111,58
