a,b
24,89
62,85
40,122
112,119
27,60
87,141
86,110
94,93
52,114
31,102
55,83
67,97
68,137
41,109
88,88
25,59
36,133
23,87
30,105
50,70
110,77
83,73
103,53
59,100
116,58
38,130
107,145
70,78
20,150
64,64
82,124
113,132
74,81
111,71
99,113
93,82
54,99
53,66
73,95
109,51
35,57
114,86
89,90
79,144
95,126
77,79
21,115
80,139
102,117
29,84
115,68
45,140
98,116
69,108
60,75
32,72
81,56
108,96
33,106
105,147
65,103
106,65
96,104
120,111
92,138
66,112
85,121
48,125
49,146
26,101
78,135
51,52
117,62
91,120
101,107
39,50
97,94
37,76
42,123
104,92
47,148
34,134
72,131
61,136
71,69
75,67
44,80
56,54
84,63
43,98
63,142
118,55
57,91
58,149
119,143
22,128
46,118
90,129
76,61
100,127
28,74
