a,b
97,72
115,75
92,96
101,136
84,57
42,92
49,80
48,52
113,106
88,70
68,121
61,54
74,51
40,87
59,94
100,63
21,148
52,115
45,103
72,127
20,61
120,95
112,91
53,120
41,81
78,67
23,142
76,114
22,129
56,89
77,79
80,131
105,104
75,88
87,139
83,116
34,58
37,90
107,84
32,102
38,98
108,150
28,50
91,145
109,113
69,53
96,141
70,97
110,74
67,128
89,108
103,55
94,56
43,149
66,122
79,118
65,107
106,59
111,101
99,64
47,124
25,78
27,60
39,77
50,99
86,62
24,117
102,132
54,126
118,105
51,144
30,68
63,110
71,143
29,71
35,100
82,66
90,65
62,147
119,112
31,140
33,137
58,109
81,134
46,83
117,146
104,111
85,93
60,76
44,119
114,86
93,135
55,82
36,69
98,123
57,85
73,73
95,133
116,138
64,130
26,125
