a,b
41,54
69,74
20,65
57,59
67,115
44,100
54,118
59,144
116,149
78,116
82,64
92,124
42,102
108,68
93,105
35,107
109,110
27,60
84,125
55,98
25,81
98,90
85,123
34,83
22,99
45,55
50,133
106,142
48,146
79,103
61,122
24,117
26,53
62,104
94,136
29,52
120,121
100,73
53,139
21,141
107,140
97,150
36,63
76,137
86,71
49,50
101,106
23,108
46,126
111,67
65,77
30,70
99,120
47,130
28,145
114,97
91,88
38,131
58,85
89,119
72,69
60,61
56,128
63,101
64,134
95,62
51,132
74,147
40,86
80,66
75,56
115,95
73,51
52,79
32,96
119,114
81,127
70,87
104,111
83,148
37,143
33,91
90,89
88,93
96,80
105,76
113,135
87,57
43,58
110,112
118,72
39,138
112,78
103,75
77,84
31,94
66,129
71,109
68,82
117,92
102,113
