a,b
106,99
84,93
79,137
115,124
56,55
98,69
41,115
39,134
38,54
42,58
109,90
67,120
93,62
118,109
105,142
24,102
48,88
21,112
50,64
37,103
32,63
94,70
51,57
57,80
72,66
119,98
88,145
55,128
96,146
107,130
110,111
43,118
81,76
108,51
78,52
101,123
87,87
33,131
83,101
49,113
74,135
112,97
52,117
63,127
80,129
73,85
91,100
47,59
27,73
76,121
95,107
120,147
100,92
22,141
54,143
20,86
103,77
68,116
64,79
46,56
102,148
90,136
44,50
82,74
99,140
58,89
65,149
89,114
116,108
85,78
75,96
60,65
70,68
28,150
114,67
77,91
104,83
25,126
62,82
53,84
61,60
113,139
45,122
71,72
23,106
35,75
86,95
34,138
30,94
69,133
59,110
36,53
26,119
29,132
31,104
117,144
111,105
66,125
92,71
97,81
40,61
