a,b
109,108
53,105
64,73
44,106
47,120
78,103
26,83
101,76
112,93
114,109
20,143
50,52
70,55
89,112
37,86
106,147
115,135
108,64
51,88
83,54
99,50
60,92
46,71
120,107
102,102
24,118
113,51
45,84
52,59
28,56
65,87
96,119
93,94
90,74
74,116
103,66
72,150
31,78
75,89
48,58
80,69
68,140
100,149
56,72
98,111
107,131
57,80
86,62
58,68
43,110
85,115
30,95
104,148
69,113
66,134
88,136
42,129
81,57
87,117
34,124
25,142
55,128
79,97
119,85
116,127
111,144
94,96
92,123
67,126
29,61
40,63
77,67
32,98
33,91
39,53
21,114
82,81
73,75
36,60
49,101
63,79
97,132
117,130
27,125
118,82
23,99
91,146
62,104
22,141
54,145
84,70
76,90
61,121
35,137
71,77
59,133
110,122
105,138
38,65
41,100
95,139
