a,b
74,70
108,114
89,129
61,85
26,82
50,149
29,125
51,141
92,116
78,59
119,147
63,139
103,123
97,94
60,119
70,53
24,60
28,52
96,109
30,88
21,69
110,150
107,131
104,127
67,56
75,66
52,130
106,112
87,91
20,92
48,113
94,76
64,106
36,50
91,143
58,75
49,90
83,124
101,67
55,96
56,57
81,89
65,101
85,145
66,115
114,71
38,120
112,104
69,108
80,74
111,58
102,138
54,51
59,68
86,133
62,72
76,137
53,84
42,126
37,144
105,121
113,87
100,80
45,55
84,61
68,54
82,132
90,128
109,78
47,140
33,65
88,135
43,134
57,86
40,62
32,97
25,73
93,111
72,110
98,122
99,103
118,79
31,95
23,99
34,93
71,63
39,118
116,77
27,64
115,117
117,98
73,83
41,136
46,105
44,102
95,148
22,142
77,146
35,100
120,81
79,107
