Name,Parameter_ID,Value
Orkney and Shetland English,1,B
Scottish English,1,B
Irish English,1,B
Manx English,1,C
Welsh English,1,B
English dialects in the North of England,1,C
English dialects in the Southwest of England,1,C
East Anglian English,1,C
English dialects in the Southeast of England,1,D
Channel Islands English,1,C
British Creole,1,D
Maltese English,1,C
Newfoundland English,1,A
Colloquial American English,1,C
Urban African American Vernacular English,1,C
Rural African American Vernacular English,1,C
Earlier African American Vernacular English,1,D
Ozark English,1,B
Appalachian English,1,D
Southeast American enclave dialects,1,B
Gullah,1,C
Chicano English,1,?
Bahamian English,1,B
Bahamian Creole,1,D
Barbadian Creole (Bajan),1,A
Jamaican English,1,D
Jamaican Creole,1,C
San Andrés Creole,1,D
Belizean Creole,1,D
Guyanese Creole (Creolese),1,C
Eastern Maroon Creole,1,X
Saramaccan,1,X
Sranan,1,D
Trinidadian Creole,1,D
Vincentian Creole,1,C
Krio (Sierra Leone Creole),1,X
Liberian Settler English,1,D
Vernacular Liberian English,1,D
Ghanaian English,1,D
Ghanaian Pidgin,1,X
Nigerian English,1,D
Nigerian Pidgin,1,X
Cameroon English,1,D
Cameroon Pidgin,1,X
Tanzanian English,1,D
Kenyan English,1,C
Ugandan English,1,D
White Zimbabwean English,1,D
Black South African English,1,C
Indian South African English,1,D
White South African English,1,C
Indian English,1,D
Pakistani English,1,D
Butler English,1,B
Sri Lankan English,1,D
Hong Kong English,1,D
Colloquial Singapore English (Singlish),1,D
Malaysian English,1,D
Australian English,1,C
Australian Vernacular English,1,B
Aboriginal English,1,B
Roper River Creole (Kriol),1,?
Torres Strait Creole,1,?
New Zealand English,1,B
Norfolk Island/ Pitcairn English,1,D
Palmerston English,1,D
Acrolectal Fiji English,1,?
Pure Fiji English (basilectal FijiE),1,B
Bislama,1,X
Tok Pisin,1,X
Hawaiʼi Creole,1,C
Falkland Islands English,1,B
St. Helena English,1,C
Tristan da Cunha English,1,B
Philippine English,1,C
Cape Flats English,1,C
Orkney and Shetland English,2,B
Scottish English,2,D
Irish English,2,D
Manx English,2,D
Welsh English,2,B
English dialects in the North of England,2,C
English dialects in the Southwest of England,2,B
East Anglian English,2,D
English dialects in the Southeast of England,2,D
Channel Islands English,2,C
British Creole,2,D
Maltese English,2,D
Newfoundland English,2,B
Colloquial American English,2,X
Urban African American Vernacular English,2,D
Rural African American Vernacular English,2,D
Earlier African American Vernacular English,2,C
Ozark English,2,C
Appalachian English,2,D
Southeast American enclave dialects,2,C
Gullah,2,?
Chicano English,2,?
Bahamian English,2,D
Bahamian Creole,2,B
Barbadian Creole (Bajan),2,C
Jamaican English,2,D
Jamaican Creole,2,B
San Andrés Creole,2,D
Belizean Creole,2,D
Guyanese Creole (Creolese),2,B
Eastern Maroon Creole,2,X
Saramaccan,2,X
Sranan,2,X
Trinidadian Creole,2,D
Vincentian Creole,2,D
Krio (Sierra Leone Creole),2,X
Liberian Settler English,2,D
Vernacular Liberian English,2,D
Ghanaian English,2,D
Ghanaian Pidgin,2,X
Nigerian English,2,D
Nigerian Pidgin,2,X
Cameroon English,2,D
Cameroon Pidgin,2,X
Tanzanian English,2,D
Kenyan English,2,D
Ugandan English,2,D
White Zimbabwean English,2,D
Black South African English,2,C
Indian South African English,2,D
White South African English,2,D
Indian English,2,D
Pakistani English,2,D
Butler English,2,B
Sri Lankan English,2,D
Hong Kong English,2,D
Colloquial Singapore English (Singlish),2,D
Malaysian English,2,D
Australian English,2,X
Australian Vernacular English,2,B
Aboriginal English,2,B
Roper River Creole (Kriol),2,D
