residence,monolingual,multilingual
Archib,4,68
Balkhar,35,16
Bezhta,39,3
Chabanmakhi,6,14
Chankurbe,10,23
Chitab,9,15
Chumli,1,16
Chuni,2,56
Darvag,37,0
Dorgeli,19,0
Durangi,12,3
Dyubek,2,22
Dzhavgat,5,38
Ersi,27,4
Gel'mets,2,37
Hinuq,5,43
Ikhrek,10,54
Karata,78,6
Khlyut,12,13
Kiche,2,21
Kidero,46,2
Kina,0,24
Kizhani,18,2
Kuli,22,2
Mallakent,0,9
Megeb,0,77
Mukar,13,5
Obokh,25,7
Rikvani,2,38
Rutul,7,30
Shalib,9,12
Shangoda,2,28
Shukty,0,26
Tad-Magitl',22,2
Tlibisho,19,6
Tokita,33,7
Tsukhta,34,23
Tsulikana,10,15
Tumenler,3,5
Ubekimakhi,21,19
Uri,4,6
Yangikent,12,8
Zilo,0,43
