a,b
22,66
32,127
106,68
89,79
92,144
69,125
75,52
37,75
64,128
44,132
94,148
87,83
56,109
63,149
120,92
47,78
39,53
29,98
110,55
21,50
33,112
55,129
102,70
38,91
96,134
80,122
61,139
79,72
26,105
31,140
114,51
25,124
24,117
83,80
65,59
30,82
53,81
101,142
46,71
71,54
73,64
119,119
67,123
77,56
117,57
48,146
118,143
116,76
86,96
35,115
51,110
76,97
36,74
28,107
98,130
74,87
23,126
66,62
112,111
82,137
57,135
68,116
20,93
103,147
62,138
88,118
59,86
60,94
45,69
97,88
40,99
85,114
113,108
115,89
108,63
107,113
70,77
84,145
34,101
42,150
99,141
50,95
43,85
105,104
54,58
72,60
93,103
91,67
104,61
49,65
52,133
95,106
41,90
90,136
81,121
111,120
58,102
78,84
109,131
27,73
100,100
