a,b
90,63
111,60
81,120
113,115
92,95
74,132
117,149
116,70
21,71
67,58
102,128
94,114
56,118
86,79
107,103
77,130
65,101
27,51
64,127
103,144
80,73
108,85
44,98
72,117
39,50
35,74
50,99
118,129
106,143
24,113
115,150
48,96
85,94
28,81
38,116
45,111
43,133
87,123
52,56
53,59
30,140
119,137
46,89
47,124
55,122
62,57
109,90
82,76
76,100
66,75
33,121
68,61
57,84
23,134
54,80
32,126
25,106
101,108
105,105
29,147
31,66
70,62
22,119
37,77
110,148
36,141
78,138
42,125
58,55
98,88
93,110
79,131
84,64
75,69
100,142
71,91
89,112
34,82
20,83
96,78
51,72
69,146
88,139
104,65
60,97
49,86
40,135
120,109
59,136
41,87
26,54
97,52
61,67
91,145
63,104
73,92
83,53
112,102
99,107
114,93
95,68
