a,b
37,132
33,142
23,150
39,86
55,126
103,95
49,121
120,127
92,140
30,60
42,91
109,68
117,136
112,134
64,138
98,70
34,135
114,66
47,81
45,97
75,111
65,109
68,125
89,77
29,55
107,76
78,124
35,128
46,133
71,137
102,87
32,79
80,71
52,65
81,118
97,57
38,110
100,84
104,62
84,131
63,69
99,149
70,101
58,64
82,58
24,108
44,74
41,139
69,88
119,83
56,119
74,117
88,94
86,96
67,93
60,104
95,51
105,112
83,53
43,144
96,130
26,105
101,100
110,54
31,80
72,148
59,122
53,147
108,102
115,73
76,145
50,85
61,123
113,52
22,116
48,129
28,103
94,120
85,90
40,78
93,72
77,61
90,107
57,63
116,59
73,89
106,113
111,141
25,92
54,143
51,98
20,99
66,75
79,114
62,50
27,56
91,106
36,146
118,82
21,115
87,67
