a,b
84,137
76,52
101,50
115,70
22,83
89,94
69,59
78,136
38,149
55,145
52,104
100,65
85,119
26,68
97,97
46,148
21,105
87,60
49,98
96,147
57,91
113,96
91,74
28,133
93,101
63,78
75,73
112,106
66,142
40,69
105,123
114,95
68,115
35,66
32,112
71,127
109,75
30,72
47,89
25,88
107,129
62,57
60,138
51,111
82,128
98,85
42,100
50,84
45,107
81,141
80,150
43,76
88,135
79,118
44,87
31,139
99,108
92,64
72,71
34,56
37,92
111,124
102,121
53,113
48,117
110,131
108,122
67,144
39,109
56,110
58,125
106,126
117,86
104,114
74,99
119,102
20,55
64,140
61,130
116,51
33,53
118,82
103,120
41,79
83,81
36,54
65,93
23,90
24,134
95,58
27,61
73,80
94,77
86,146
77,116
54,62
90,132
59,67
70,63
120,103
29,143
